year,house_id,pv_group,is_leap_year,household_available,heatpump_available,household_kwh,heatpump_kwh,combined_kwh,household_availability_pct,heatpump_availability_pct,household_completeness_class,heatpump_completeness_class,household_usable_for_benchmark,heatpump_usable_for_benchmark,household_incomplete_year_flag,heatpump_incomplete_year_flag,household_missing_intervals,heatpump_missing_intervals,household_first_timestamp_iso_utc,household_last_timestamp_iso_utc,heatpump_first_timestamp_iso_utc,heatpump_last_timestamp_iso_utc,household_pv_contamination_status,heatpump_pv_contamination_status,household_negative_power_sample_count,household_contaminated_energy_kwh
2018,SFH3,NO_PV,False,True,True,1238.193,1001.712,2239.905,66.5154,66.5154,INCOMPLETE,INCOMPLETE,False,False,True,True,11733,11733,2018-05-02T14:30:00+00:00,2018-12-31T23:45:00+00:00,2018-05-02T14:30:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH4,NO_PV,False,True,True,1852.568,1459.645,3312.213,66.4612,66.4612,INCOMPLETE,INCOMPLETE,False,False,True,True,11752,11752,2018-05-02T15:15:00+00:00,2018-12-31T23:45:00+00:00,2018-05-02T15:15:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH5,NO_PV,False,True,True,1901.132,2607.954,4509.086,60.2683,60.2683,INCOMPLETE,INCOMPLETE,False,False,True,True,13922,13922,2018-05-02T15:30:00+00:00,2018-12-31T23:45:00+00:00,2018-05-02T15:30:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH6,NO_PV,False,True,True,1297.437,1523.756,2821.193,66.2243,66.2243,INCOMPLETE,INCOMPLETE,False,False,True,True,11835,11835,2018-05-03T13:45:00+00:00,2018-12-31T23:45:00+00:00,2018-05-03T13:45:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH7,NO_PV,False,True,True,1509.601,865.286,2374.887,46.4269,46.4269,EXCLUDE,EXCLUDE,False,False,True,True,18772,18772,2018-05-03T14:15:00+00:00,2018-12-31T23:45:00+00:00,2018-05-03T14:15:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH8,NO_PV,False,True,True,1954.206,2378.7,4332.906,65.1027,65.1027,INCOMPLETE,INCOMPLETE,False,False,True,True,12228,12228,2018-05-03T14:30:00+00:00,2018-12-31T23:45:00+00:00,2018-05-03T14:30:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH9,NO_PV,False,True,True,3140.019,3509.907,6649.926,65.6564,65.6564,INCOMPLETE,INCOMPLETE,False,False,True,True,12034,12034,2018-05-06T08:30:00+00:00,2018-12-31T23:45:00+00:00,2018-05-06T08:30:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH10,NO_PV,False,True,True,3679.91,3548.044,7227.954,65.6535,65.6535,INCOMPLETE,INCOMPLETE,False,False,True,True,12035,12035,2018-05-06T08:45:00+00:00,2018-12-31T23:45:00+00:00,2018-05-06T08:45:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH11,NO_PV,False,True,True,1790.904,2135.531,3926.435,65.6507,65.6507,INCOMPLETE,INCOMPLETE,False,False,True,True,12036,12036,2018-05-06T09:00:00+00:00,2018-12-31T23:45:00+00:00,2018-05-06T09:00:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH12,NO_PV,False,True,True,1679.599,1109.443,2789.042,64.5805,64.5805,INCOMPLETE,INCOMPLETE,False,False,True,True,12411,12411,2018-05-06T09:15:00+00:00,2018-12-31T23:45:00+00:00,2018-05-06T09:15:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
2018,SFH13,WITH_PV,False,True,True,1801.679,778.759,2580.438,64.5548,64.5548,INCOMPLETE,INCOMPLETE,False,False,True,True,12420,12420,2018-05-06T09:45:00+00:00,2018-12-31T23:45:00+00:00,2018-05-06T09:45:00+00:00,2018-12-31T23:45:00+00:00,with_pv_group; P_TOT is publisher-corrected estimate; P_TOT_WITH_PV is meter reading including PV (may be negative),heatpump_meter_unaffected_by_rooftop_pv_self_consumption,2816,-305.095
2018,SFH14,NO_PV,False,True,True,1450.755,4864.489,6315.244,64.5205,64.5205,INCOMPLETE,INCOMPLETE,False,False,True,True,12432,12432,2018-05-06T10:30:00+00:00,2018-12-31T23:45:00+00:00,2018-05-06T10:30:00+00:00,2018-12-31T23:45:00+00:00,no_rooftop_pv_self_consumption_group,heatpump_meter_unaffected_by_rooftop_pv_self_consumption,0,
