profile_type,profile_id,year,annual_load_kwh,original_measured_kwh,battery_kwh,eigenverbrauch_kwh,eigenverbrauchsquote_pct,autarkie_pct,netzbezug_kwh,einspeisung_kwh,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,direct_self_consumption_kwh,technical_speichergrenze_kwh,pv_yield_kwh,energy_balance_error_kwh
BDEW,BDEW_H25,2019,5000,,0,2166.637,21.058,43.333,2833.363,8122.03,0,0,0,2166.637,10,10288.667,0
BDEW,BDEW_H25,2019,5000,,5,3639.731,35.376,72.795,1360.269,6471.283,1606.385,1511.849,94.536,2166.637,10,10288.667,-2.361797701855295e-10
BDEW,BDEW_H25,2019,5000,,6,3889.165,37.8,77.783,1110.835,6196.035,1881.633,1770.877,110.756,2166.637,10,10288.667,-2.8476776492425415e-10
BDEW,BDEW_H25,2019,5000,,7,4074.2,39.599,81.484,925.8,5990.66,2087.009,1963.417,122.859,2166.637,10,10288.667,-2.852020841714875e-10
BDEW,BDEW_H25,2019,5000,,8,4183.347,40.66,83.667,816.653,5868.862,2208.807,2077.02,130.055,2166.637,10,10288.667,-4.111166962417201e-10
BDEW,BDEW_H25,2019,5000,,9,4253.506,41.342,85.07,746.494,5791.011,2286.658,2149.713,134.689,2166.637,10,10288.667,-3.359237332745124e-10
BDEW,BDEW_H25,2019,5000,,10,4305.629,41.848,86.113,694.371,5733.622,2344.047,2203.647,138.144,2166.637,10,10288.667,-2.5857183061361866e-10
BDEW,BDEW_H25,2019,5000,,11,4342.345,42.205,86.847,657.655,5692.359,2385.31,2241.631,140.629,2166.637,10,10288.667,-6.028306742678069e-10
BDEW,BDEW_H25,2019,5000,,12,4376.252,42.535,87.525,623.748,5654.127,2423.541,2276.562,142.931,2166.637,10,10288.667,-3.4225688949618416e-10
BDEW,BDEW_H25,2019,5000,,13,4407.881,42.842,88.158,592.119,5618.49,2459.179,2309.074,145.081,2166.637,10,10288.667,-2.574012114564539e-10
BDEW,BDEW_H25,2019,5000,,14,4434.729,43.103,88.695,565.271,5588.625,2489.043,2336.732,146.911,2166.637,10,10288.667,-5.987983442423683e-10
BDEW,BDEW_H25,2019,5000,,15,4458.671,43.336,89.173,541.329,5562.259,2515.409,2361.464,148.545,2166.637,10,10288.667,-3.55941054408504e-10
BDEW,BDEW_H25,2019,5000,,16,4480.992,43.553,89.62,519.008,5537.461,2540.208,2384.562,150.082,2166.637,10,10288.667,-2.5060931108100704e-10
BDEW,BDEW_H25,2019,5000,,17,4500.356,43.741,90.007,499.644,5516.052,2561.616,2404.626,151.426,2166.637,10,10288.667,-6.027525145668733e-10
BDEW,BDEW_H25,2019,5000,,18,4515.78,43.891,90.316,484.22,5498.968,2578.701,2420.62,152.517,2166.637,10,10288.667,-3.491038569336524e-10
BDEW,BDEW_H25,2019,5000,,19,4530.011,44.029,90.6,469.989,5483.201,2594.467,2435.373,153.531,2166.637,10,10288.667,-2.467688275942237e-10
BDEW,BDEW_H25,2019,5000,,20,4542.854,44.154,90.857,457.146,5468.999,2608.67,2448.653,154.453,2166.637,10,10288.667,-5.785842915884132e-10
BDEW,BDEW_H25,2019,5000,,21,4553.426,44.257,91.069,446.574,5457.341,2620.327,2459.536,155.227,2166.637,10,10288.667,-3.5416025667700524e-10
BDEW,BDEW_H25,2019,5000,,22,4562.35,44.343,91.247,437.65,5447.459,2630.21,2468.748,155.898,2166.637,10,10288.667,-6.99865942976885e-10
BDEW,BDEW_H25,2019,5000,,23,4570.801,44.426,91.416,429.199,5438.101,2639.567,2477.465,156.538,2166.637,10,10288.667,-5.804450253776849e-10
BDEW,BDEW_H25,2019,5000,,24,4578.604,44.501,91.572,421.396,5429.449,2648.22,2485.52,157.136,2166.637,10,10288.667,-3.340359100434398e-10
BDEW,BDEW_H25,2019,5000,,25,4586.072,44.574,91.721,413.928,5421.117,2656.552,2493.272,157.715,2166.637,10,10288.667,-6.886917702786377e-10
BDEW,BDEW_H25,2019,5000,,26,4593.205,44.643,91.864,406.795,5413.189,2664.479,2500.644,158.271,2166.637,10,10288.667,-5.731788377261182e-10
BDEW,BDEW_H25,2019,5000,,27,4598.827,44.698,91.977,401.173,5406.918,2670.75,2506.458,158.728,2166.637,10,10288.667,-3.263131986841472e-10
BDEW,BDEW_H25,2019,5000,,28,4604.452,44.753,92.089,395.548,5400.648,2677.02,2512.271,159.185,2166.637,10,10288.667,-7.10945968762644e-10
BDEW,BDEW_H25,2019,5000,,29,4610.123,44.808,92.202,389.877,5394.379,2683.29,2518.084,159.642,2166.637,10,10288.667,-5.680247383565984e-10
BDEW,BDEW_H25,2019,5000,,30,4615.789,44.863,92.316,384.211,5388.109,2689.559,2523.896,160.099,2166.637,10,10288.667,-2.7822188997106423e-10
REAL,SFH3,2019,5000,2040.394,0,2004.836,19.486,40.097,2995.164,8283.83,0,0,0,2004.836,10,10288.667,0
REAL,SFH3,2019,5000,2040.394,5,3459.684,33.626,69.194,1540.316,6640.93,1596.542,1502.541,94.001,2004.836,10,10288.667,-2.538075305480447e-10
REAL,SFH3,2019,5000,2040.394,6,3624.732,35.23,72.495,1375.268,6460.755,1776.717,1672.068,104.65,2004.836,10,10288.667,-2.822757583231805e-10
REAL,SFH3,2019,5000,2040.394,7,3740.841,36.359,74.817,1259.159,6333.789,1903.683,1791.505,112.178,2004.836,10,10288.667,-2.66099808854392e-10
REAL,SFH3,2019,5000,2040.394,8,3830.388,37.229,76.608,1169.612,6235.819,2001.653,1883.647,118.007,2004.836,10,10288.667,-3.7868208568880846e-10
REAL,SFH3,2019,5000,2040.394,9,3899.406,37.9,77.988,1100.594,6160.238,2077.234,1954.71,122.524,2004.836,10,10288.667,-3.257247804810959e-10
REAL,SFH3,2019,5000,2040.394,10,3971.597,38.602,79.432,1028.403,6082.273,2155.199,2028.019,127.181,2004.836,10,10288.667,-2.077339411599155e-10
REAL,SFH3,2019,5000,2040.394,11,4018.09,39.054,80.362,981.91,6031.562,2205.91,2075.669,130.241,2004.836,10,10288.667,-5.660284463360199e-10
REAL,SFH3,2019,5000,2040.394,12,4058.115,39.443,81.162,941.885,5987.947,2249.525,2116.64,132.886,2004.836,10,10288.667,-3.0711477805311915e-10
REAL,SFH3,2019,5000,2040.394,13,4092.189,39.774,81.844,907.811,5950.132,2287.34,2151.597,135.173,2004.836,10,10288.667,-2.0064494510307895e-10
REAL,SFH3,2019,5000,2040.394,14,4123.022,40.073,82.46,876.978,5915.58,2321.893,2183.175,137.259,2004.836,10,10288.667,-5.844991157744062e-10
REAL,SFH3,2019,5000,2040.394,15,4150.49,40.34,83.01,849.51,5885.581,2351.891,2211.329,139.103,2004.836,10,10288.667,-3.3108515928859106e-10
REAL,SFH3,2019,5000,2040.394,16,4182.412,40.651,83.648,817.588,5851.531,2385.942,2243.934,141.204,2004.836,10,10288.667,-1.9163082232154238e-10
REAL,SFH3,2019,5000,2040.394,17,4205.012,40.87,84.1,794.988,5826.766,2410.706,2267.16,142.742,2004.836,10,10288.667,-5.967262239892079e-10
REAL,SFH3,2019,5000,2040.394,18,4225.409,41.069,84.508,774.591,5804.555,2432.917,2287.983,144.13,2004.836,10,10288.667,-3.3483193995209604e-10
REAL,SFH3,2019,5000,2040.394,19,4244.445,41.254,84.889,755.555,5783.865,2453.607,2307.374,145.43,2004.836,10,10288.667,-2.063661463935773e-10
REAL,SFH3,2019,5000,2040.394,20,4262.675,41.431,85.254,737.325,5764.017,2473.455,2325.971,146.68,2004.836,10,10288.667,-5.770230959711853e-10
REAL,SFH3,2019,5000,2040.394,21,4278.434,41.584,85.569,721.566,5746.902,2490.57,2341.997,147.77,2004.836,10,10288.667,-3.2489522183709596e-10
REAL,SFH3,2019,5000,2040.394,22,4291.525,41.711,85.831,708.475,5732.695,2504.778,2355.286,148.688,2004.836,10,10288.667,-7.188625250620362e-10
REAL,SFH3,2019,5000,2040.394,23,4302.963,41.822,86.059,697.037,5720.26,2517.213,2366.908,149.501,2004.836,10,10288.667,-5.683834514158548e-10
REAL,SFH3,2019,5000,2040.394,24,4312.571,41.916,86.251,687.429,5709.805,2527.667,2376.666,150.197,2004.836,10,10288.667,-3.185114394455013e-10
REAL,SFH3,2019,5000,2040.394,25,4322.117,42.009,86.442,677.883,5699.417,2538.055,2386.361,150.89,2004.836,10,10288.667,-7.112085365079679e-10
REAL,SFH3,2019,5000,2040.394,26,4331.105,42.096,86.622,668.895,5689.644,2547.828,2395.478,151.547,2004.836,10,10288.667,-5.656298762701795e-10
REAL,SFH3,2019,5000,2040.394,27,4339.165,42.174,86.783,660.835,5680.801,2556.671,2403.718,152.149,2004.836,10,10288.667,-2.945067523185685e-10
REAL,SFH3,2019,5000,2040.394,28,4346.763,42.248,86.935,653.237,5672.475,2564.998,2411.473,152.721,2004.836,10,10288.667,-7.201037544035671e-10
REAL,SFH3,2019,5000,2040.394,29,4354.334,42.322,87.087,645.666,5664.149,2573.324,2419.228,153.292,2004.836,10,10288.667,-5.480264020363279e-10
REAL,SFH3,2019,5000,2040.394,30,4361.364,42.39,87.227,638.636,5656.473,2580.999,2426.37,153.826,2004.836,10,10288.667,-2.6635549321696317e-10
REAL,SFH4,2019,5000,3093.229,0,2021.528,19.648,40.431,2978.472,8267.138,0,0,0,2021.528,10,10288.667,0
REAL,SFH4,2019,5000,3093.229,5,3466.47,33.692,69.329,1533.53,6638.387,1583.891,1490.645,93.245,2021.528,10,10288.667,-2.6507451789115066e-10
REAL,SFH4,2019,5000,3093.229,6,3650.105,35.477,73.002,1349.895,6437.742,1784.536,1679.442,105.094,2021.528,10,10288.667,-2.842953095161249e-10
REAL,SFH4,2019,5000,3093.229,7,3793.947,36.875,75.879,1206.053,6280.262,1942.017,1827.371,114.405,2021.528,10,10288.667,-2.832352408166372e-10
REAL,SFH4,2019,5000,3093.229,8,3900.062,37.906,78.001,1099.938,6163.3,2058.978,1936.432,121.317,2021.528,10,10288.667,-4.002980169559578e-10
REAL,SFH4,2019,5000,3093.229,9,3976.714,38.651,79.534,1023.286,6079.404,2142.874,2015.144,126.316,2021.528,10,10288.667,-3.362339295875927e-10
REAL,SFH4,2019,5000,3093.229,10,4043.546,39.301,80.871,956.454,6006.454,2215.824,2083.727,130.682,2021.528,10,10288.667,-2.3223578615727547e-10
REAL,SFH4,2019,5000,3093.229,11,4089.638,39.749,81.793,910.362,5955.318,2266.961,2130.978,133.743,2021.528,10,10288.667,-6.236624550126635e-10
REAL,SFH4,2019,5000,3093.229,12,4125.798,40.1,82.516,874.202,5914.81,2307.468,2168.053,136.176,2021.528,10,10288.667,-3.316293906152623e-10
REAL,SFH4,2019,5000,3093.229,13,4155.617,40.39,83.112,844.383,5881.311,2340.967,2198.542,138.199,2021.528,10,10288.667,-2.212434679904618e-10
REAL,SFH4,2019,5000,3093.229,14,4183.735,40.664,83.675,816.265,5850.255,2372.023,2227.323,140.096,2021.528,10,10288.667,-6.204050606584133e-10
REAL,SFH4,2019,5000,3093.229,15,4206.276,40.883,84.126,793.724,5825.635,2396.643,2250.414,141.625,2021.528,10,10288.667,-3.3927438636283114e-10
REAL,SFH4,2019,5000,3093.229,16,4228.543,41.099,84.571,771.457,5801.237,2421.042,2273.158,143.139,2021.528,10,10288.667,-2.0688961654968807e-10
REAL,SFH4,2019,5000,3093.229,17,4247.48,41.283,84.95,752.52,5780.543,2441.735,2292.553,144.437,2021.528,10,10288.667,-6.23415097322777e-10
REAL,SFH4,2019,5000,3093.229,18,4266.139,41.464,85.323,733.861,5760.169,2462.109,2311.647,145.717,2021.528,10,10288.667,-3.426654515692462e-10
REAL,SFH4,2019,5000,3093.229,19,4282.345,41.622,85.647,717.655,5742.43,2479.848,2328.261,146.842,2021.528,10,10288.667,-2.1123636173570048e-10
REAL,SFH4,2019,5000,3093.229,20,4295.566,41.75,85.911,704.434,5727.92,2494.358,2341.835,147.777,2021.528,10,10288.667,-6.104521332872537e-10
REAL,SFH4,2019,5000,3093.229,21,4308.055,41.872,86.161,691.945,5714.231,2508.047,2354.637,148.665,2021.528,10,10288.667,-3.40986794356013e-10
REAL,SFH4,2019,5000,3093.229,22,4318.568,41.974,86.371,681.432,5702.641,2519.637,2365.462,149.43,2021.528,10,10288.667,-7.619389563728873e-10
REAL,SFH4,2019,5000,3093.229,23,4327.977,42.065,86.56,672.023,5692.251,2530.027,2375.156,150.125,2021.528,10,10288.667,-6.058309409695539e-10
REAL,SFH4,2019,5000,3093.229,24,4337.427,42.157,86.749,662.573,5681.862,2540.416,2384.85,150.821,2021.528,10,10288.667,-3.2642333280819e-10
REAL,SFH4,2019,5000,3093.229,25,4346.886,42.249,86.938,653.114,5671.473,2550.805,2394.542,151.518,2021.528,10,10288.667,-7.495613019159464e-10
REAL,SFH4,2019,5000,3093.229,26,4356.025,42.338,87.121,643.975,5661.405,2560.873,2403.932,152.196,2021.528,10,10288.667,-5.97099258925482e-10
