battery_kwh,metric,bdew,real_count,real_min,real_p05,real_p25,real_median,real_mean,real_p75,real_p95,real_max,real_std,bdew_percentile_rank
0,eigenverbrauch_kwh,2166.637,27,1584.654,1684.719,1934.561,2021.528,2025.645,2137.472,2242.197,2355.62,172.132,77.778
0,eigenverbrauchsquote_pct,21.058,27,15.402,16.375,18.803,19.648,19.688,20.775,21.793,22.895,1.673,77.778
0,autarkie_pct,43.333,27,31.693,33.694,38.692,40.431,40.513,42.75,44.844,47.112,3.443,77.778
0,netzbezug_kwh,2833.363,27,2644.38,2757.803,2862.529,2978.472,2974.355,3065.44,3315.281,3415.346,172.132,22.222
0,einspeisung_kwh,8122.03,27,7933.046,8046.469,8151.196,8267.138,8263.022,8354.106,8603.948,8704.013,172.132,22.222
5,eigenverbrauch_kwh,3639.731,27,2714.08,2971.066,3421.235,3511.65,3464.482,3596.048,3681.418,3707.85,221.099,85.185
5,eigenverbrauchsquote_pct,35.376,27,26.379,28.877,33.253,34.131,33.673,34.951,35.781,36.038,2.149,85.185
5,autarkie_pct,72.795,27,54.282,59.421,68.425,70.233,69.29,71.921,73.628,74.157,4.422,85.185
5,netzbezug_kwh,1360.269,27,1292.15,1318.582,1403.952,1488.35,1535.518,1578.765,2028.934,2285.92,221.099,14.815
5,einspeisung_kwh,6471.283,27,6394.725,6426.466,6502.392,6589.652,6637.998,6677.45,7143.703,7388.34,222.776,14.815
6,eigenverbrauch_kwh,3889.165,27,2771.228,3108.894,3601.922,3675.501,3628.064,3757.715,3817.908,3895.597,237.803,96.296
6,eigenverbrauchsquote_pct,37.8,27,26.935,30.217,35.009,35.724,35.263,36.523,37.108,37.863,2.311,96.296
6,autarkie_pct,77.783,27,55.425,62.178,72.039,73.51,72.561,75.155,76.358,77.912,4.756,96.296
6,netzbezug_kwh,1110.835,27,1104.403,1182.093,1242.285,1324.499,1371.936,1398.079,1891.106,2228.772,237.803,3.704
6,einspeisung_kwh,6196.035,27,6188.335,6268.235,6325.047,6410.871,6458.786,6482.376,6993.598,7323.969,241.231,3.704
7,eigenverbrauch_kwh,4074.2,27,2806.616,3210.009,3727.578,3800.627,3747.024,3894.408,3942.304,4031.317,252.141,100
7,eigenverbrauchsquote_pct,39.599,27,27.279,31.199,36.23,36.94,36.419,37.852,38.317,39.182,2.451,100
7,autarkie_pct,81.484,27,56.132,64.2,74.552,76.013,74.941,77.889,78.846,80.626,5.043,100
7,netzbezug_kwh,925.8,27,968.683,1057.696,1105.592,1199.373,1252.976,1272.422,1789.991,2193.384,252.141,0
7,einspeisung_kwh,5990.66,27,6038.888,6124.028,6184.231,6275.277,6328.166,6344.398,6883.429,7283.948,257.291,0
