house_id,pv_group,completeness_class,availability_pct,interval_count,finite_intervals,annual_kwh,peak_15min_avg_power_w,median_nonzero_operating_power_w,share_standby_lt_100w,share_compressor_100w_to_4kw,share_heating_rod_gt_4kw,count_standby_lt_100w,count_compressor_100w_to_4kw,count_heating_rod_gt_4kw,season_winter_share,season_spring_share,season_summer_share,season_autumn_share,daily_kwh_mean,daily_kwh_median,daily_kwh_p95,daily_kwh_max,m01_kwh,m02_kwh,m03_kwh,m04_kwh,m05_kwh,m06_kwh,m07_kwh,m08_kwh,m09_kwh,m10_kwh,m11_kwh,m12_kwh
SFH3,NO_PV,COMPLETE,100.0,35040,35040,2456.287,6718.491,932.234,0.779737,0.214897,0.005365,27322,7530,188,0.48187,0.235961,0.060134,0.222034,6.7296,5.9894,16.9554,24.3835,492.624,278.175,283.226,153.018,143.344,49.596,49.166,48.945,77.262,142.871,325.248,412.811
SFH4,NO_PV,COMPLETE,100.0,35040,35040,5223.807,8157.477,1294.421,0.66153,0.300685,0.037785,23180,10536,1324,0.657642,0.153502,0.030064,0.158792,14.3118,7.94,70.2583,117.3999,1825.815,967.317,430.891,206.703,164.272,20.717,35.476,100.855,111.04,223.061,495.399,642.262
SFH5,NO_PV,COMPLETE,100.0,35040,35040,7006.872,6067.672,794.062,0.159389,0.829338,0.011273,5585,29060,395,0.306392,0.214728,0.240423,0.238457,19.1969,18.1962,38.9003,51.4723,967.825,592.141,541.026,364.909,598.636,499.225,577.369,608.019,115.321,426.758,1128.759,586.883
SFH7,NO_PV,COMPLETE,100.0,35040,35040,3565.046,6477.907,1305.535,0.757249,0.228282,0.014469,26534,7999,507,0.552856,0.220613,0.027647,0.198884,9.7672,8.3855,29.8887,56.2431,580.504,394.492,385.198,238.661,162.638,25.928,37.604,35.031,83.292,229.736,396.003,995.959
SFH8,NO_PV,COMPLETE,100.0,35040,35040,5461.165,5803.715,830.431,0.442066,0.557763,0.000171,15490,19544,6,0.377005,0.27531,0.103256,0.244428,14.9621,15.1828,27.1628,46.9411,777.038,587.552,582.447,480.267,440.801,190.738,201.962,171.2,344.977,408.151,581.736,694.295
SFH9,NO_PV,COMPLETE,100.0,35040,35040,7068.214,3332.268,690.6,0.120091,0.879909,0.0,4208,30832,0,0.449374,0.240988,0.053943,0.255695,19.365,17.5832,40.9365,54.6808,1197.62,829.741,738.784,510.971,453.599,166.64,85.908,128.732,345.371,520.29,941.647,1148.913
SFH10,NO_PV,COMPLETE,100.0,35040,35040,4065.89,13504.849,994.861,0.581364,0.415582,0.003054,20371,14562,107,0.504384,0.258545,0.025753,0.211318,11.1394,10.5093,28.5843,72.5124,1025.16,487.484,528.109,271.556,251.548,47.562,43.901,13.247,128.545,279.931,450.722,538.124
SFH11,NO_PV,COMPLETE,100.0,35040,35040,6491.042,8407.472,1892.881,0.705708,0.222146,0.072146,24728,7784,2528,0.720744,0.120678,0.032378,0.1262,17.7837,6.6482,73.9554,88.7797,2234.246,859.067,435.855,148.689,198.783,90.817,56.986,62.361,129.774,201.741,487.654,1585.069
SFH12,NO_PV,COMPLETE,100.0,35040,35040,2773.052,6938.501,1498.259,0.803025,0.192922,0.004053,28138,6760,142,0.513056,0.223944,0.031991,0.231009,7.5974,7.2545,18.6564,35.0701,572.887,355.106,320.572,173.022,127.414,19.021,53.953,15.738,74.819,201.025,364.756,494.737
SFH14,NO_PV,COMPLETE,100.0,35040,35040,9654.572,11758.05,1693.814,0.637643,0.250628,0.111729,22343,8782,3915,0.505712,0.334249,0.029727,0.130312,26.4509,17.8001,79.4799,112.4698,2528.316,1753.364,1623.438,893.167,710.426,19.737,102.913,164.351,179.817,444.598,633.692,600.755
